,0,1,2,3,4,5,6,7,8,9
0,4,4,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4
6,4,4,4,4,4,4,4,4,4,4
7,4,4,4,4,4,4,4,4,4,4
8,4,4,5,4,4,4,4,4,4,4
9,5,4,4,4,4,4,4,4,4,4
10,5,5,4,5,5,4,4,4,4,5
11,5,4,5,5,4,4,4,5,4,4
12,5,4,5,4,4,5,4,5,4,5
13,5,5,4,5,4,4,4,4,4,5
14,4,4,4,4,5,3,3,5,5,3
15,3,5,5,4,5,4,3,5,3,5
16,3,3,4,3,5,5,3,4,3,5
17,4,4,3,3,5,5,5,4,5,3
18,3,3,5,4,3,3,5,4,3,0
19,4,3,3,3,5,3,4,4,0,0
20,5,3,3,4,3,5,3,5,3,4
21,0,3,0,5,5,2,4,3,4,3
22,5,5,4,0,3,4,4,3,5,4
23,3,3,4,3,3,5,3,3,5,4
24,5,4,3,4,3,3,5,4,3,3
25,5,5,3,3,3,5,2,3,4,5
26,2,3,4,4,3,5,0,5,4,5
27,5,3,4,4,3,5,1,1,3,4
28,3,3,5,1,3,5,5,4,2,4
29,5,5,1,5,5,4,4,4,0,0
30,1,4,5,5,4,3,5,4,2,3
31,0,4,1,4,4,5,0,3,3,4
32,0,1,5,5,1,1,4,3,3,5
33,1,0,4,4,3,1,1,1,3,0
34,1,5,5,3,1,1,5,3,5,3
35,1,5,5,1,4,0,5,4,5,3
36,5,4,4,5,5,5,3,3,4,4
37,0,5,5,5,5,3,5,5,1,3
38,3,1,1,5,4,3,2,4,5,4
39,5,0,3,1,2,3,5,4,5,5
40,4,5,1,3,1,5,3,4,3,0
41,3,3,1,1,3,3,5,2,4,0
42,3,5,1,1,3,5,4,3,3,1
43,5,4,1,0,4,3,0,1,4,1
44,4,0,1,3,4,3,2,3,3,4
45,5,4,5,2,5,0,4,4,0,1
46,5,3,3,0,1,3,5,4,1,5
47,0,4,4,5,3,0,1,3,1,2
48,4,5,5,1,4,3,2,1,5,5
49,4,3,0,4,5,2,5,5,3,3
50,4,4,3,4,0,3,3,5,3,2
51,4,5,5,4,1,4,3,3,2,3
52,5,4,3,3,3,3,2,4,4,2
53,2,4,1,5,4,4,3,5,0,0
54,5,0,0,4,5,5,0,5,5,4
55,3,1,3,4,1,4,0,0,5,5
56,4,5,4,3,5,1,4,2,3,2
57,2,0,1,5,5,1,3,5,5,5
58,5,0,3,1,1,0,3,4,5,5
59,4,5,4,1,5,3,0,2,5,0
60,0,2,1,3,1,0,4,5,1,2
61,5,4,1,5,1,5,2,4,4,3
62,2,5,4,4,3,5,4,5,3,5
63,5,5,2,1,5,0,3,4,2,4
64,2,4,3,3,2,1,2,4,5,5
65,3,1,5,5,5,4,2,5,0,1
66,4,2,3,5,4,4,2,1,5,3
67,1,0,4,5,5,2,2,5,1,5
68,0,4,1,3,2,5,3,3,1,4
69,0,4,2,5,3,1,4,5,0,1
70,2,1,5,3,4,4,1,4,3,5
71,0,0,5,4,4,2,3,3,5,0
72,2,0,3,3,1,4,1,5,4,2
73,5,5,1,1,3,2,4,4,5,5
74,3,0,2,1,3,5,1,4,4,3
75,4,5,5,4,5,3,4,5,0,1
76,0,5,4,3,3,5,2,1,3,1
77,1,5,4,1,2,3,5,3,4,4
78,0,4,2,2,1,0,0,2,1,4
79,4,5,5,4,5,3,1,3,2,4
80,1,1,4,4,5,1,3,1,3,5
81,4,5,0,2,4,5,3,5,3,2
82,3,3,4,2,4,2,1,1,5,3
83,4,0,4,5,5,4,5,2,5,4
84,2,3,3,5,4,5,1,0,1,3
85,3,4,0,3,0,5,4,5,1,3
86,0,5,3,4,1,0,2,1,5,2
87,5,1,1,2,3,4,0,3,5,0
88,5,4,5,0,5,2,4,5,5,1
89,2,2,5,1,1,1,4,0,5,5
90,5,4,4,3,1,2,1,5,3,1
91,3,5,5,4,4,1,5,4,2,3
92,1,2,1,0,5,4,5,5,0,4
93,3,5,5,2,5,5,5,0,1,5
94,5,3,2,3,0,1,4,2,3,5
95,4,4,1,3,1,5,3,3,5,2
96,2,3,0,4,0,4,5,4,2,1
97,2,4,5,3,4,1,0,3,4,5
98,5,5,2,2,2,1,5,5,4,4
99,2,1,4,1,5,3,2,3,5,3
